,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude
85,2002,8,28,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,Few (~1 to 50 deaths),MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,yes,3,15.004,37.734
86,2008,11,20,Huila,Colombia,Colombia,5365,Stratovolcano,Historical,10.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,,-76.05,2.92
87,2011,6,4,Puyehue,Chile-C,Chile,2236,Stratovolcano,Holocene,,,,MODERATE (~$1 to $5 million),,no,no,4,-72.117,-40.59
88,2013,12,13,Okataina,New Zealand,New Zealand,1111,Lava dome,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,176.5,-38.12
89,2014,9,27,On-take,Honshu-Japan,Japan,3063,Complex volcano,Historical,55.0,Some (~51 to 100 deaths),Some (~51 to 100 deaths),,,no,no,3,137.48,35.9
90,2014,12,18,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,,127.325,0.8
91,2018,1,13,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,,,Very Many (~1001 or more deaths),MODERATE (~$1 to $5 million),,no,no,,123.685,13.257
92,2018,8,25,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,,,,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,4,145.061,-4.1
93,-1750,,,Veniaminof,Alaska Peninsula,United States,2507,Stratovolcano,Historical,,,,,,no,no,6,-159.38,56.17
94,847,,,Bona-Churchill,Alaska-E,United States,5005,Stratovolcano,Radiocarbon,,,,,,no,no,6,-141.75,61.38
95,930,,,Ceboruco,Mexico,Mexico,2280,Stratovolcano,Historical,,,,,,no,no,6,-104.508,21.125
96,1158,1,19,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-19.7,63.98
97,1329,7,,Etna,Italy,Italy,3350,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,1,15.004,37.734
98,1510,10,15,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,4,-19.7,63.98
99,1615,3,,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,,,,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,no,3,129.871,-4.525
100,1617,,,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,,,,,,no,no,3,-90.88,14.473
101,1646,7,19,Makian,Halmahera-Indonesia,Indonesia,1357,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,4,127.4,0.32
102,1677,11,22,La Palma,Canary Is,Spain,2426,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,-17.83,28.58
103,1784,,,Hualalai,Hawaiian Is,United States,2523,Shield volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,0,-155.87,19.692
104,1800,,,St. Helens,US-Washington,United States,2549,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,5,-122.18,46.2
