,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude
340,1568,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,510,Stratovolcano,Historical,1001.0,Very Many (~1001 or more deaths),,,,no,no,3,159.82,-9.13
341,1570,,,Mombacho,Nicaragua,Nicaragua,1344,Stratovolcano,Holocene,400.0,Many (~101 to 1000 deaths),,,,no,no,,-85.968,11.826
342,1663,8,16,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,5.0,Few (~1 to 50 deaths),,,,no,no,5,140.83,42.53
343,1693,1,9,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,,,,no,yes,,15.004,37.734
344,1755,10,17,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,4,-19.05,63.63
345,1843,8,,Lamongan,Java,Indonesia,1651,Stratovolcano,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,2,113.342,-8.0
346,1872,4,24,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,9.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,14.426,40.821
347,1878,8,29,Okmok,Aleutian Is,United States,1073,Shield volcano,Historical,,,,,,yes,yes,2,-168.13,53.42
348,1913,12,6,Ambrym,Vanuatu-SW Pacific,Vanuatu,1334,Pyroclastic shield,Historical,21.0,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),,no,no,3,168.12,-16.25
349,1949,5,26,Purace,Colombia,Colombia,4650,Stratovolcano,Historical,17.0,Few (~1 to 50 deaths),,,,no,no,2,-76.4,2.32
350,1957,10,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,12.0,Few (~1 to 50 deaths),,,,no,no,2,131.1,32.88
351,1963,12,10,Irazu,Costa Rica,Costa Rica,3432,Stratovolcano,Historical,40.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,no,3,-83.852,9.979
352,1971,9,14,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,10.0,Few (~1 to 50 deaths),,,,no,no,3,-90.88,14.473
353,1992,4,10,"Negro, Cerro",Nicaragua,Nicaragua,728,Cinder cone,Historical,11.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),MODERATE (~$1 to $5 million),Few (~1 to 50 houses),no,no,3,-86.702,12.506
354,1997,7,12,Hakkoda Group,Honshu-Japan,Japan,1585,Stratovolcano,Holocene,3.0,Few (~1 to 50 deaths),,,,no,no,,140.88,40.65
355,1997,9,15,Adatara,Honshu-Japan,Japan,1718,Stratovolcano,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,,140.28,37.62
356,1997,11,23,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,,131.1,32.88
357,2004,1,29,Egon,Lesser Sunda Is,Indonesia,1703,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,1,122.45,-8.67
358,2013,2,,Paluweh,Lesser Sunda Is,Indonesia,875,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,,121.708,-8.32
359,2013,9,4,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,,130.67,31.58
360,2015,5,7,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,,125.48,2.7800000000000002
361,-3580,,,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,,,,,,no,no,6,120.993,14.002
362,-2040,,,Long Island,New Guinea-NE of,Papua New Guinea,1280,Complex volcano,Historical,,,,,,no,no,6,147.12,-5.358
363,653,,,Dakataua,New Britain-SW Pac,Papua New Guinea,400,Caldera,Anthropology,,,,,,no,no,6,150.108,-5.056
364,683,,,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,,,,,,no,no,6,152.203,-4.271
365,950,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,,,no,no,,-19.05,63.63
366,1580,5,1,San Jorge,Azores,Portugal,1053,Fissure vent,Historical,10.0,Few (~1 to 50 deaths),,,,no,no,3,-28.08,38.65
367,1581,12,26,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-90.88,14.473
368,1608,7,18,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,yes,no,3,127.325,0.8
369,1625,9,2,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,,,no,no,5,-19.05,63.63
370,1660,2,,Teon,Banda Sea,Pacific Ocean,655,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,4,129.125,-6.92
371,1773,2,2,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,,Some (~51 to 100 deaths),,,,no,no,2,127.325,0.8
372,1779,8,8,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,14.426,40.821
373,1801,7,,Chokai,Honshu-Japan,Japan,2237,Stratovolcano,Historical,8.0,Few (~1 to 50 deaths),,,,no,no,2,140.03,39.08
374,1804,,,Shikotsu,Hokkaido-Japan,Japan,1320,Caldera,Historical,,Many (~101 to 1000 deaths),,,,no,no,3,141.33,42.7
375,1820,3,1,Westdahl,Aleutian Is,United States,1654,Stratovolcano,Historical,,,,,,yes,yes,2,-164.65,54.52
376,1845,9,2,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-19.7,63.98
377,1867,10,21,Zao,Honshu-Japan,Japan,1841,Complex volcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,2,140.45,38.15
378,1870,,,Aoba,Vanuatu-SW Pacific,Vanuatu,1496,Shield volcano,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,2,167.83,-15.4
379,1910,3,20,Taupo,New Zealand,New Zealand,760,Caldera,Radiocarbon,1.0,Few (~1 to 50 deaths),,,,no,no,,176.0,-38.82
380,1952,3,27,Hakone,Honshu-Japan,Japan,1438,Complex volcano,Radiocarbon,1.0,Few (~1 to 50 deaths),,,,no,no,,139.02,35.22
381,1953,4,27,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,6.0,Few (~1 to 50 deaths),,,,no,no,2,131.1,32.88
382,1963,3,17,Irazu,Costa Rica,Costa Rica,3432,Stratovolcano,Historical,15.0,Few (~1 to 50 deaths),,,,no,no,3,-83.852,9.979
383,1974,10,17,Ritter Island,New Guinea-NE of,Papua New Guinea,140,Stratovolcano,Historical,,,,,,yes,no,1,148.121,-5.52
384,1986,10,15,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,110.442,-7.542
385,1987,1,25,Pacaya,Guatemala,Guatemala,2552,Complex volcano,Historical,,,Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),Some (~51 to 100 houses),no,no,3,-90.601,14.381
386,1990,6,24,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,6.0,Few (~1 to 50 deaths),,,,no,no,,152.203,-4.271
387,1993,10,4,Pinatubo,Luzon-Philippines,Philippines,1486,Stratovolcano,Historical,14.0,Few (~1 to 50 deaths),,,,no,no,,120.35,15.13
388,2000,6,27,Miyake-jima,Izu Is-Japan,Japan,815,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Many (~101 to 1000 deaths),LIMITED (roughly corresponding to less than $1 million),,yes,yes,2,139.53,34.08
389,2006,11,30,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,1266.0,Very Many (~1001 or more deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,1,123.685,13.257
390,2009,3,23,Redoubt,Alaska-SW,United States,3108,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,,-152.75,60.48
391,2016,5,21,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,7.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),EXTREME (~$25 million or more),,no,no,,98.392,3.17
392,2018,1,23,Kusatsu-Shirane,Honshu-Japan,Japan,2176,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,,138.55,36.62
393,2019,7,3,Stromboli,Italy,Italy,926,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,15.213,38.789
394,1280,,,Quilotoa,Ecuador,Ecuador,3914,Caldera,Radiocarbon,,,,,,no,no,6,-78.9,-0.85
395,1540,,,Augustine,Alaska-SW,United States,1252,Lava dome,Historical,,,,,,yes,no,4,-153.42,59.37
396,1660,,,Long Island,New Guinea-NE of,Papua New Guinea,1280,Complex volcano,Historical,2000.0,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,no,6,147.12,-5.358
397,1858,4,23,Tate-yama,Honshu-Japan,Japan,2621,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,yes,,137.6,36.57
398,1864,1,3,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,54.0,Some (~51 to 100 deaths),,,Many (~101 to 1000 houses),no,no,2,112.308,-7.93
399,1873,1,16,Ragang,Mindanao-Philippines,Philippines,2815,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,124.5,7.67
400,1902,8,7,Tori-shima,Izu Is-Japan,Japan,403,Stratovolcano,Historical,125.0,Many (~101 to 1000 deaths),,,,no,no,3,140.32,30.48
401,1907,8,4,Alayta,Africa-NE,Ethiopia,1501,Shield volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,40.57,12.88
402,1909,9,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,221.0,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,2,112.92,-8.108
403,1919,5,19,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,5110.0,Very Many (~1001 or more deaths),,,Very Many (~1001 or more houses),no,no,4,112.308,-7.93
404,1919,7,6,Nasu,Honshu-Japan,Japan,1917,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,,139.97,37.12
405,1920,10,29,Izalco,El Salvador,El Salvador,1950,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,-89.633,13.813
406,1938,5,9,Bandai,Honshu-Japan,Japan,1819,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,,140.08,37.6
407,1949,1,1,Villarrica,Chile-C,Chile,2847,Stratovolcano,Historical,54.0,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),,no,no,3,-71.93,-39.42
408,1963,9,28,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,7.0,Few (~1 to 50 deaths),,,,no,no,3,-90.88,14.473
409,1968,4,21,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),,,,no,no,3,123.685,13.257
410,1985,5,10,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,70.0,Some (~51 to 100 deaths),,,,no,no,3,112.92,-8.108
411,1992,7,5,Marapi,Sumatra,Indonesia,2891,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,100.473,-0.381
412,2001,10,20,Stromboli,Italy,Italy,926,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,15.213,38.789
413,2004,10,24,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,5.0,Few (~1 to 50 deaths),,,,no,no,4,145.061,-4.1
414,2010,5,29,Sarigan,Mariana Is-C Pacific,United States,538,Stratovolcano,Holocene,,,,,,yes,yes,,145.78,16.708
415,2018,12,26,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,Few (~1 to 50 deaths),EXTREME (~$25 million or more),Few (~1 to 50 houses),no,yes,2,15.004,37.734
416,2020,1,12,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,,,,EXTREME (~$25 million or more),Very Many (~1001 or more houses),no,no,,120.993,14.002
417,-1645,,,Aniakchak,Alaska Peninsula,United States,1341,Caldera,Historical,,,,,,no,no,6,-158.17,56.88
418,1636,5,15,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-19.7,63.98
419,1669,3,19,Etna,Italy,Italy,3350,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,15.004,37.734
420,1698,5,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,,,,,,yes,no,3,14.426,40.821
421,1706,5,5,Tenerife,Canary Is,Spain,3715,Stratovolcano,Historical,,,,SEVERE (~>$5 to $24 million),,yes,no,2,-16.641,28.271
422,1707,12,16,Fuji,Honshu-Japan,Japan,3776,Stratovolcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,yes,4,138.73,35.35
423,1826,10,11,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,,Some (~51 to 100 deaths),,,,no,no,2,109.92,-7.2
424,1832,11,1,Etna,Italy,Italy,3350,Stratovolcano,Historical,,Some (~51 to 100 deaths),,,,no,no,2,15.004,37.734
425,1835,1,20,Cosiguina,Nicaragua,Nicaragua,872,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,5,-87.57,12.98
426,1860,,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,-17.33,64.42
427,1871,8,7,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,127.325,0.8
428,1872,,,Sinarka,Kuril Is,Russia,934,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,4,154.175,48.875
429,1899,11,13,Dona Juana,Colombia,Colombia,4150,Stratovolcano,Historical,55.0,Some (~51 to 100 deaths),,,,no,no,4,-76.92,1.47
430,1905,3,10,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,14.426,40.821
431,1924,5,10,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,-155.292,19.425
432,1931,8,20,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,3,138.53,36.4
433,1947,1,7,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,123.685,13.257
434,1957,3,11,Vsevidof,Aleutian Is,United States,2149,Stratovolcano,Historical,,,,,,no,yes,2,-168.68,53.13
435,1963,9,5,Batur,Lesser Sunda Is,Indonesia,1717,Caldera,Historical,2.0,Few (~1 to 50 deaths),,,Few (~1 to 50 houses),no,no,2,115.375,-8.242
436,1967,7,8,"Lengai, Ol Doinyo",Africa-E,Tanzania,2890,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,35.902,-2.751
437,1969,1,28,Iya,Lesser Sunda Is,Indonesia,637,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,Many (~101 to 1000 houses),no,no,3,121.63,-8.88
438,1988,7,30,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,112.92,-8.108
439,1990,3,26,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,131.1,32.88
440,1994,6,6,Huila,Colombia,Colombia,5365,Stratovolcano,Historical,650.0,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,yes,,-76.05,2.92
441,1999,8,15,Shiveluch,Kamchatka,Russia,3283,Stratovolcano,Historical,,,,,,no,no,4,161.36,56.653
442,1999,10,16,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,-78.442,-1.467
443,2019,12,9,White Island,New Zealand,New Zealand,321,Stratovolcano,Historical,21.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,177.18,-37.52
444,1357,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-19.05,63.63
445,1586,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,10000.0,Very Many (~1001 or more deaths),,,,no,no,5,112.308,-7.93
446,1730,,,Tseax River Cone,Canada,Canada,609,Pyroclastic cone,Radiocarbon,,Few (~1 to 50 deaths),,,,no,no,,-128.9,55.12
447,1823,2,,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,0,-155.292,19.425
448,1832,12,25,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,32.0,Few (~1 to 50 deaths),,,Some (~51 to 100 houses),no,no,3,110.442,-7.542
449,1838,2,26,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,2,127.325,0.8
450,1858,1,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,123.685,13.257
451,1872,12,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,3,131.1,32.88
452,1879,2,4,Stromboli,Italy,Italy,926,Stratovolcano,Historical,,,,,,yes,no,2,15.213,38.789
453,1893,5,19,Azuma,Honshu-Japan,Japan,2024,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,140.25,37.73
454,1918,7,18,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,-5,Submarine volcano,Historical,,,,,,yes,no,3,125.491,3.138
455,1940,7,12,Miyake-jima,Izu Is-Japan,Japan,815,Stratovolcano,Historical,11.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,139.53,34.08
456,1966,1,13,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,851,Stratovolcano,Historical,,,,,,yes,no,3,165.8,-10.38
457,1970,5,5,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-19.7,63.98
458,1974,10,10,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,no,4,-90.88,14.473
459,1975,1,,Marapi,Sumatra,Indonesia,2891,Complex volcano,Historical,80.0,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,2,100.473,-0.381
460,1977,4,27,Krafla,Iceland-NE,Iceland,650,Caldera,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,1,-16.78,65.73
461,1984,9,14,On-take,Honshu-Japan,Japan,3063,Complex volcano,Historical,29.0,Few (~1 to 50 deaths),,,,no,no,,137.48,35.9
462,1989,2,12,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,131.1,32.88
463,1991,6,,Mutnovsky,Kamchatka,Russia,2322,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,158.195,52.453
464,1991,8,8,"Hudson, Cerro",Chile-S,Chile,1905,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,5,-72.97,-45.9
465,1992,3,18,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,,109.92,-7.2
466,1993,2,2,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,75.0,Some (~51 to 100 deaths),,,,no,no,2,123.685,13.257
467,1995,5,15,Kelimutu,Lesser Sunda Is,Indonesia,1640,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,121.83,-8.758
468,2015,10,,Okataina,New Zealand,New Zealand,1111,Lava dome,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,176.5,-38.12
469,2018,2,9,Kadovar,New Guinea-NE of,Papua New Guinea,365,Stratovolcano,Holocene,,,,,,yes,no,,144.62,-3.62
470,-1890,,,"Hudson, Cerro",Chile-S,Chile,1905,Stratovolcano,Historical,,,,,,no,no,6,-72.97,-45.9
471,-455,,,Cotopaxi,Ecuador,Ecuador,5911,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,4,-78.436,-0.677
472,240,,,Ksudach,Kamchatka,Russia,1079,Stratovolcano,Historical,,,,,,no,no,6,157.53,51.8
473,1362,6,5,Oraefajokull,Iceland-SE,Iceland,2119,Stratovolcano,Historical,220.0,Many (~101 to 1000 deaths),,,,no,no,5,-16.65,64.0
474,1385,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,112.308,-7.93
475,1630,9,3,Furnas,Azores,Portugal,805,Stratovolcano,Historical,200.0,Many (~101 to 1000 deaths),,,,no,no,4,-25.32,37.77
476,1669,3,11,Etna,Italy,Italy,3350,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,yes,3,15.004,37.734
477,1670,,,Aoba,Vanuatu-SW Pacific,Vanuatu,1496,Shield volcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,2,167.83,-15.4
478,1690,,,Guntur,Java,Indonesia,2249,Complex volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,107.83,-7.13
479,1766,7,20,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,49.0,Few (~1 to 50 deaths),,,,no,no,3,123.685,13.257
480,1780,7,27,Aoga-shima,Izu Is-Japan,Japan,423,Stratovolcano,Historical,7.0,Few (~1 to 50 deaths),,,Few (~1 to 50 houses),no,no,3,139.77,32.45
481,1784,4,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,9350.0,Very Many (~1001 or more deaths),,,,no,no,4,-17.33,64.42
482,1890,,,Victory,New Guinea,Papua New Guinea,1925,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,2,149.07,-9.2
483,1913,5,29,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,1,138.53,36.4
484,1926,5,24,Tokachi,Hokkaido-Japan,Japan,2077,Stratovolcano,Historical,144.0,Many (~101 to 1000 deaths),Many (~101 to 1000 deaths),,Very Many (~1001 or more houses),no,no,3,142.68,43.42
485,1932,1,21,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,4,-90.88,14.473
486,1964,3,3,Villarrica,Chile-C,Chile,2847,Stratovolcano,Historical,25.0,Few (~1 to 50 deaths),,,,no,no,2,-71.93,-39.42
487,1967,12,4,Deception Island,Antarctica,Antarctica,576,Caldera,Historical,,,,,,yes,no,3,-60.65,-62.97
488,1974,10,22,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,9.0,Few (~1 to 50 deaths),,,Few (~1 to 50 houses),no,no,2,110.442,-7.542
489,1977,1,10,Nyiragongo,Africa-C,"Congo, DRC",3470,Stratovolcano,Historical,,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),,no,no,1,29.25,-1.52
490,1988,12,25,Lonquimay,Chile-C,Chile,2865,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,-71.58,-38.377
491,1991,6,3,Unzen,Kyushu-Japan,Japan,1500,Complex volcano,Historical,43.0,Few (~1 to 50 deaths),,,,no,no,1,130.3,32.75
492,1993,3,12,Guagua Pichincha,Ecuador,Ecuador,4784,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,1,-78.598,-0.171
493,2008,8,22,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,3,-78.442,-1.467
494,2011,6,22,Nabro,Africa-NE,Eritrea,2218,Stratovolcano,Holocene,31.0,Few (~1 to 50 deaths),Many (~101 to 1000 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,3,41.7,13.37
495,2013,9,1,Ubinas,Peru,Peru,5672,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,,-70.903,-16.355
496,2014,2,1,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,17.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),Some (~51 to 100 houses),no,no,,98.392,3.17
497,2015,10,16,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,1.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,,98.392,3.17
498,1334,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,112.308,-7.93
499,1564,12,31,Gamkonora,Halmahera-Indonesia,Indonesia,1635,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,127.52,1.375
500,1711,12,11,Awu,Sangihe Is-Indonesia,Indonesia,1320,Stratovolcano,Historical,3000.0,Very Many (~1001 or more deaths),,,,no,no,3,125.5,3.67
501,1873,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,9.0,Few (~1 to 50 deaths),,,,no,no,,14.426,40.821
502,1877,6,25,Cotopaxi,Ecuador,Ecuador,5911,Stratovolcano,Historical,340.0,Many (~101 to 1000 deaths),,,,no,no,4,-78.436,-0.677
503,1892,6,7,Awu,Sangihe Is-Indonesia,Indonesia,1320,Stratovolcano,Historical,1532.0,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,no,3,125.5,3.67
504,1895,5,22,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,2,112.92,-8.108
505,1895,6,17,Karkar,New Guinea-NE of,Papua New Guinea,1839,Stratovolcano,Historical,21.0,Few (~1 to 50 deaths),,,,no,no,2,145.964,-4.649
506,1902,5,20,Pelee,W Indies,Martinique,1397,Stratovolcano,Historical,,,,,,yes,no,,-61.17,14.82
507,1904,2,25,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,1.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,2,43.38,-11.75
508,1906,4,4,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,350.0,Many (~101 to 1000 deaths),Many (~101 to 1000 deaths),,,yes,no,3,14.426,40.821
509,1928,11,2,Etna,Italy,Italy,3350,Stratovolcano,Historical,5.0,Few (~1 to 50 deaths),,,,no,no,1,15.004,37.734
510,1929,1,6,Calbuco,Chile-S,Chile,2003,Stratovolcano,Historical,,,,,,no,no,3,-72.614,-41.326
